"province","health_sector","vaccination_date","total_number_vaccines_administered"
"Free State","Public Health","2021-03-05",303
"Northern Cape","Public Health","2021-11-30",1518
"KwaZulu-Natal","Private Health","2021-12-13",158
"Mpumalanga","Private Health","2021-06-09",6
"Gauteng","Private Health","2021-06-11",3
"Northern Cape","Public Health","2021-07-25",1230
"Gauteng","Public Health","2021-07-26",8414
"Gauteng","Public Health","2021-04-24",2
"Mpumalanga","Public Health","2021-12-07",3551
"Gauteng","Public Health","2021-11-08",2155
"North West","Public Health","2021-11-15",2629
"North West","Public Health","2021-12-01",4263
"Mpumalanga","Private Health","2021-10-31",3
"Gauteng","Public Health","2021-08-17",8420
"Gauteng","Private Health","2021-10-15",3686
"Eastern Cape","Private Health","2021-08-01",1
"Limpopo","Public Health","2021-03-19",415
"Mpumalanga","Public Health","2021-10-29",5128
"Western Cape","Private Health","2021-11-30",629
"Eastern Cape","Private Health","2021-10-23",123
"KwaZulu-Natal","Private Health","2021-11-30",222
"Western Cape","Public Health","2021-04-07",990
"Eastern Cape","Public Health","2021-09-17",2915
"Western Cape","Public Health","2021-04-12",71
"Mpumalanga","Public Health","2021-08-25",2968
"Limpopo","Private Health","2021-10-21",2277
"Western Cape","Private Health","2021-02-24",177
"KwaZulu-Natal","Public Health","2021-05-09",1
"Eastern Cape","Public Health","2021-07-29",8212
"Mpumalanga","Public Health","2021-07-22",2171
"Gauteng","Private Health","2021-07-21",2914
"Eastern Cape","Public Health","2021-08-03",5528
"North West","Public Health","2021-07-17",744
"Gauteng","Private Health","2021-06-23",689
"Western Cape","Private Health","2021-09-24",54
"Mpumalanga","Public Health","2021-12-15",2332
"Mpumalanga","Public Health","2021-03-25",753
"Mpumalanga","Public Health","2021-07-10",58
"Limpopo","Public Health","2021-09-29",9397
"North West","Public Health","2021-07-05",812
"Eastern Cape","Public Health","2021-08-02",5131
"Northern Cape","Public Health","2021-09-29",281
"Mpumalanga","Private Health","2021-03-21",1
"Limpopo","Private Health","2021-10-03",14
"Limpopo","Public Health","2021-09-12",41
"North West","Private Health","2021-11-06",23
"Limpopo","Private Health","2021-12-13",503
"Limpopo","Public Health","2021-06-26",14160
"Mpumalanga","Public Health","2021-03-18",319
"Northern Cape","Public Health","2021-07-21",1547
"Limpopo","Private Health","2021-10-29",913
"Limpopo","Private Health","2021-07-13",757
"Mpumalanga","Public Health","2021-05-05",233
"Western Cape","Public Health","2021-04-01",916
"Eastern Cape","Public Health","2021-08-10",5815
"Limpopo","Public Health","2021-06-29",17
"Northern Cape","Private Health","2021-10-02",20
"Limpopo","Private Health","2021-10-15",1365
"Limpopo","Private Health","2021-03-06",293
"Gauteng","Public Health","2021-07-23",5431
"Free State","Public Health","2021-09-16",2464
"Free State","Private Health","2021-07-23",166
"North West","Public Health","2021-10-26",4791
"North West","Private Health","2021-12-05",11
"Western Cape","Public Health","2021-10-15",4440
"Mpumalanga","Public Health","2021-11-28",72
"Gauteng","Private Health","2021-10-02",1218
"North West","Private Health","2021-07-24",142
"Western Cape","Public Health","2021-09-24",3
"Eastern Cape","Public Health","2021-12-14",1844
"KwaZulu-Natal","Public Health","2021-04-08",713
"North West","Private Health","2021-09-22",380
"Gauteng","Public Health","2021-09-18",5725
"Western Cape","Public Health","2021-07-15",1120
"North West","Public Health","2021-07-28",2651
"North West","Public Health","2021-11-27",1348
"Gauteng","Private Health","2021-10-11",2522
"KwaZulu-Natal","Public Health","2021-10-14",6079
"Gauteng","Public Health","2021-10-16",3192
"North West","Public Health","2021-07-24",2376
"Western Cape","Public Health","2021-11-27",611
"Eastern Cape","Private Health","2021-06-24",1
"Gauteng","Private Health","2021-07-08",2298
"Western Cape","Private Health","2021-05-13",1148
"Free State","Private Health","2021-10-18",393
"Eastern Cape","Public Health","2021-07-08",1662
"Western Cape","Private Health","2021-10-16",290
"Northern Cape","Public Health","2021-10-18",1163
"North West","Private Health","2021-10-19",458
"Northern Cape","Public Health","2021-03-05",162
"Gauteng","Public Health","2021-11-07",1258
"Limpopo","Public Health","2021-07-21",8563
"Northern Cape","Public Health","2021-09-07",794
"North West","Public Health","2021-10-20",5918
"Free State","Private Health","2021-07-05",3
"Gauteng","Public Health","2021-10-15",5081
"North West","Private Health","2021-11-29",271
"Gauteng","Public Health","2021-06-04",158
"Gauteng","Public Health","2021-09-17",4116
"Free State","Private Health","2021-07-28",202
"KwaZulu-Natal","Public Health","2021-03-25",1558
"Limpopo","Private Health","2021-09-10",1381
"KwaZulu-Natal","Private Health","2021-11-05",111
"Gauteng","Private Health","2021-08-31",3750
"Northern Cape","Private Health","2021-05-08",74
"Free State","Private Health","2021-11-08",129
"Gauteng","Private Health","2021-06-28",409
"Northern Cape","Private Health","2021-10-25",193
"Mpumalanga","Public Health","2021-07-17",5
"Mpumalanga","Public Health","2021-07-11",3
"Northern Cape","Public Health","2021-09-06",597
"Northern Cape","Private Health","2021-12-08",180
"KwaZulu-Natal","Private Health","2021-07-24",5
"Gauteng","Private Health","2021-06-22",3
"Limpopo","Public Health","2021-11-20",278
"Free State","Private Health","2021-11-14",7
"Northern Cape","Public Health","2021-04-13",151
"Eastern Cape","Public Health","2021-07-15",1726
"Mpumalanga","Public Health","2021-08-27",3419
"Mpumalanga","Public Health","2021-10-23",2266
"KwaZulu-Natal","Public Health","2021-05-31",43
"KwaZulu-Natal","Public Health","2021-11-06",1879
"Northern Cape","Public Health","2021-10-20",2338
"Limpopo","Public Health","2021-07-31",1838
"KwaZulu-Natal","Private Health","2021-10-21",389
"Western Cape","Public Health","2021-04-28",798
"Limpopo","Public Health","2021-09-10",101
"Northern Cape","Private Health","2021-11-02",253
"Free State","Private Health","2021-10-13",438
"Mpumalanga","Public Health","2021-08-20",3379
"Northern Cape","Public Health","2021-05-13",464
"KwaZulu-Natal","Private Health","2021-03-01",12
"Gauteng","Public Health","2021-09-22",4446
"North West","Private Health","2021-07-21",1
"KwaZulu-Natal","Public Health","2021-09-10",5536
"Free State","Public Health","2021-08-04",1600
"Northern Cape","Public Health","2021-11-04",1296
"Free State","Public Health","2021-06-14",33
"Northern Cape","Public Health","2021-04-10",38
"Eastern Cape","Public Health","2021-11-25",3954
"Western Cape","Private Health","2021-07-12",1234
"KwaZulu-Natal","Public Health","2021-03-03",831
"Eastern Cape","Public Health","2021-06-30",6337
"North West","Private Health","2021-11-08",243
"Eastern Cape","Public Health","2021-12-02",4275
"Mpumalanga","Private Health","2021-11-08",296
"Limpopo","Private Health","2021-10-02",788
"Eastern Cape","Private Health","2021-07-20",145
"Gauteng","Public Health","2021-10-11",4216
"Free State","Private Health","2021-10-03",1
"Northern Cape","Private Health","2021-11-07",12
"Northern Cape","Private Health","2021-10-04",25
"Eastern Cape","Public Health","2021-09-18",1632
"Gauteng","Public Health","2021-11-26",2791
"Gauteng","Private Health","2021-06-05",1
"Limpopo","Private Health","2021-02-23",2
"North West","Public Health","2021-09-18",4945
"Free State","Public Health","2021-09-21",3618
"Northern Cape","Private Health","2021-09-22",48
"Northern Cape","Private Health","2021-07-20",612
"Northern Cape","Private Health","2021-08-25",77
"Mpumalanga","Private Health","2021-08-30",934
"Eastern Cape","Private Health","2021-05-03",89
"Northern Cape","Public Health","2021-07-24",1445
"Mpumalanga","Public Health","2021-08-02",2796
"Free State","Public Health","2021-04-12",20
"Limpopo","Public Health","2021-11-06",64
"Limpopo","Public Health","2021-11-01",2413
"Free State","Public Health","2021-07-19",1012
"Western Cape","Private Health","2021-04-07",291
"Limpopo","Private Health","2021-03-09",4
"North West","Private Health","2021-09-07",546
"Limpopo","Private Health","2021-08-14",95
"Western Cape","Public Health","2021-10-13",3983
"Gauteng","Private Health","2021-09-19",104
"North West","Private Health","2021-12-07",211
"Mpumalanga","Private Health","2021-09-15",1360
"Western Cape","Public Health","2021-02-17",60
"Eastern Cape","Public Health","2021-09-09",4357
"Gauteng","Public Health","2021-06-09",122
"KwaZulu-Natal","Private Health","2021-11-12",201
"Northern Cape","Private Health","2021-09-14",51
"Mpumalanga","Public Health","2021-09-12",97
"Mpumalanga","Private Health","2021-12-11",57
"Limpopo","Private Health","2021-08-16",439
"Free State","Public Health","2021-10-11",3312
"Free State","Public Health","2021-11-06",485
"Mpumalanga","Private Health","2021-07-08",11
"Northern Cape","Private Health","2021-07-12",269
"Mpumalanga","Public Health","2021-04-05",1
"Eastern Cape","Private Health","2021-08-31",1160
"North West","Public Health","2021-08-07",1428
"KwaZulu-Natal","Public Health","2021-09-03",5907
"Northern Cape","Public Health","2021-11-09",968
"Western Cape","Public Health","2021-10-14",4498
"Western Cape","Public Health","2021-10-26",4541
"Limpopo","Public Health","2021-12-13",3406
"North West","Private Health","2021-09-13",466
"Mpumalanga","Private Health","2021-09-11",270
"Gauteng","Private Health","2021-12-12",204
"Eastern Cape","Public Health","2021-11-09",4091
"KwaZulu-Natal","Private Health","2021-07-10",1
"Gauteng","Public Health","2021-06-22",45
"Mpumalanga","Public Health","2021-09-14",7453
"Gauteng","Private Health","2021-08-04",1030
"KwaZulu-Natal","Private Health","2021-04-09",296
"Gauteng","Public Health","2021-06-06",10
"Mpumalanga","Public Health","2021-10-04",6043
"Free State","Private Health","2021-08-17",138
"Limpopo","Private Health","2021-09-17",1322
"Western Cape","Public Health","2021-12-06",1864
"Limpopo","Public Health","2021-09-06",9
"KwaZulu-Natal","Public Health","2021-07-17",490
"Northern Cape","Public Health","2021-08-18",1002
"Limpopo","Public Health","2021-10-12",10271
"Limpopo","Private Health","2021-06-15",1
"Eastern Cape","Private Health","2021-08-14",110
"Limpopo","Private Health","2021-08-21",372
"Eastern Cape","Private Health","2021-08-12",979
"Northern Cape","Private Health","2021-08-24",31
"Limpopo","Private Health","2021-08-18",747
"Northern Cape","Public Health","2021-05-04",176
"North West","Public Health","2021-11-20",2478
"North West","Public Health","2021-09-28",5540
"Limpopo","Private Health","2021-06-02",2
"Western Cape","Private Health","2021-05-03",396
"Mpumalanga","Public Health","2021-04-06",240
"Limpopo","Public Health","2021-08-08",5
"Northern Cape","Public Health","2021-10-24",205
"Free State","Public Health","2021-04-01",72
"Gauteng","Private Health","2021-03-19",202
"KwaZulu-Natal","Public Health","2021-07-15",149
"Free State","Private Health","2021-11-03",214
"Limpopo","Public Health","2021-12-10",3231
"Western Cape","Public Health","2021-09-21",1668
"KwaZulu-Natal","Public Health","2021-12-03",3879
"Gauteng","Private Health","2021-07-28",2897
"Gauteng","Public Health","2021-07-10",114
"North West","Public Health","2021-06-26",77
"Northern Cape","Private Health","2021-08-20",53
"Free State","Public Health","2021-12-13",1449
"KwaZulu-Natal","Private Health","2021-09-17",803
"Western Cape","Private Health","2021-02-23",190
"Gauteng","Private Health","2021-11-07",93
"Gauteng","Private Health","2021-03-25",1070
"Eastern Cape","Public Health","2021-08-15",391
"Eastern Cape","Public Health","2021-08-11",5309
"Gauteng","Public Health","2021-06-07",83
"North West","Public Health","2021-08-27",4974
"Gauteng","Private Health","2021-05-15",831
"Western Cape","Public Health","2021-08-17",5341
"Western Cape","Private Health","2021-09-04",113
"Western Cape","Private Health","2021-10-01",832
"North West","Private Health","2021-03-08",120
"Eastern Cape","Public Health","2021-11-06",1047
"Gauteng","Public Health","2021-08-09",942
"Eastern Cape","Public Health","2021-08-27",4866
"Free State","Public Health","2021-06-10",2
"Mpumalanga","Public Health","2021-07-26",847
"Northern Cape","Public Health","2021-09-20",533
"North West","Public Health","2021-11-18",2788
"Eastern Cape","Private Health","2021-02-28",195
"Western Cape","Private Health","2021-10-13",680
"North West","Public Health","2021-06-10",1
"Eastern Cape","Private Health","2021-10-09",154
"Northern Cape","Private Health","2021-11-24",141
"Gauteng","Private Health","2021-08-06",1088
"Free State","Private Health","2021-11-11",166
"Northern Cape","Private Health","2021-11-27",32
"KwaZulu-Natal","Private Health","2021-10-05",287
"Free State","Public Health","2021-11-01",1222
"KwaZulu-Natal","Private Health","2021-12-09",107
"Mpumalanga","Private Health","2021-03-17",212
"Eastern Cape","Public Health","2021-10-10",1200
"Free State","Private Health","2021-11-10",170
"Gauteng","Public Health","2021-08-29",1284
"Eastern Cape","Private Health","2021-08-10",805
"Eastern Cape","Private Health","2021-09-25",53
"Gauteng","Public Health","2021-09-26",1051
"Limpopo","Private Health","2021-12-12",11
"Northern Cape","Public Health","2021-09-10",970
"KwaZulu-Natal","Private Health","2021-11-07",8
"Northern Cape","Private Health","2021-03-08",60
"Limpopo","Private Health","2021-10-04",1344
"KwaZulu-Natal","Public Health","2021-08-06",13312
"Eastern Cape","Public Health","2021-06-21",2
"KwaZulu-Natal","Private Health","2021-10-14",409
"Eastern Cape","Private Health","2021-10-18",286
"North West","Private Health","2021-07-19",1
"Free State","Public Health","2021-10-17",3
"North West","Public Health","2021-07-06",412
"Limpopo","Public Health","2021-10-17",1
"Western Cape","Private Health","2021-09-05",1
"Eastern Cape","Public Health","2021-10-18",4544
"Northern Cape","Private Health","2021-07-13",1
"Northern Cape","Public Health","2021-07-02",893
"Northern Cape","Public Health","2021-08-15",139
"Western Cape","Public Health","2021-09-23",1883
"Eastern Cape","Public Health","2021-07-16",1502
"Gauteng","Public Health","2021-02-22",1584
"North West","Public Health","2021-11-02",3394
"KwaZulu-Natal","Public Health","2021-10-11",5427
"Gauteng","Public Health","2021-11-13",6324
"Mpumalanga","Public Health","2021-10-13",6965
"North West","Private Health","2021-11-01",64
"Limpopo","Public Health","2021-07-22",10618
"Mpumalanga","Public Health","2021-03-12",167
"Western Cape","Private Health","2021-10-03",90
"Western Cape","Private Health","2021-07-06",913
"Northern Cape","Private Health","2021-08-26",95
"Free State","Public Health","2021-10-04",2870
"Mpumalanga","Private Health","2021-03-04",206
"North West","Public Health","2021-03-19",200
"North West","Private Health","2021-07-14",1
"North West","Public Health","2021-05-11",473
"Mpumalanga","Public Health","2021-06-03",2
"Eastern Cape","Public Health","2021-07-17",448
"Eastern Cape","Private Health","2021-03-19",327
"Western Cape","Public Health","2021-05-29",243
"Gauteng","Public Health","2021-05-19",940
"Limpopo","Public Health","2021-10-15",8853
"Mpumalanga","Private Health","2021-03-09",243
"North West","Public Health","2021-08-20",3205
"North West","Public Health","2021-05-14",41
"Limpopo","Public Health","2021-03-24",781
"Eastern Cape","Public Health","2021-06-08",1
"Gauteng","Private Health","2021-11-20",338
"North West","Public Health","2021-05-06",536
"Gauteng","Public Health","2021-06-17",37
"Limpopo","Public Health","2021-05-17",4
"Eastern Cape","Public Health","2021-02-24",862
"Mpumalanga","Public Health","2021-03-16",129
"Northern Cape","Private Health","2021-10-23",23
"Limpopo","Public Health","2021-11-25",2407
"North West","Private Health","2021-11-11",237
"Eastern Cape","Private Health","2021-09-01",1308
"Mpumalanga","Public Health","2021-03-06",1
"Northern Cape","Public Health","2021-09-04",681
"Gauteng","Private Health","2021-03-05",574
"Northern Cape","Public Health","2021-10-22",2105
"Western Cape","Public Health","2021-11-06",806
"Free State","Private Health","2021-09-27",260
"Northern Cape","Private Health","2021-08-16",15
"Eastern Cape","Private Health","2021-10-19",313
"Limpopo","Public Health","2021-07-16",8386
"KwaZulu-Natal","Public Health","2021-10-12",5827
"Free State","Private Health","2021-11-19",150
"Western Cape","Private Health","2021-03-18",164
"Gauteng","Public Health","2021-05-22",56
"Mpumalanga","Public Health","2021-06-26",367
"Western Cape","Public Health","2021-06-28",4012
"KwaZulu-Natal","Private Health","2021-03-09",612
"North West","Public Health","2021-09-06",4583
"KwaZulu-Natal","Private Health","2021-08-20",1082
"Western Cape","Public Health","2021-09-11",838
"KwaZulu-Natal","Private Health","2021-12-12",10
"North West","Private Health","2021-09-28",390
"Gauteng","Public Health","2021-04-01",1343
"KwaZulu-Natal","Public Health","2021-06-18",1
"Mpumalanga","Public Health","2021-11-12",4238
"Mpumalanga","Public Health","2021-05-01",84
"Free State","Public Health","2021-10-03",2208
"Gauteng","Public Health","2021-08-08",938
"Free State","Public Health","2021-08-19",1776
"North West","Public Health","2021-11-30",3899
"Western Cape","Public Health","2021-07-14",915
"North West","Private Health","2021-10-14",461
"Northern Cape","Private Health","2021-08-03",3
"North West","Public Health","2021-03-16",291
"Northern Cape","Private Health","2021-11-21",125
"Mpumalanga","Public Health","2021-09-22",6205
"North West","Public Health","2021-10-30",3469
"Northern Cape","Public Health","2021-03-25",58
"Free State","Public Health","2021-11-04",3274
"North West","Public Health","2021-08-26",4496
"North West","Private Health","2021-10-28",306
"Limpopo","Public Health","2021-09-16",7000
"Eastern Cape","Private Health","2021-08-21",346
"North West","Public Health","2021-04-01",120
"Northern Cape","Private Health","2021-10-01",40
"Limpopo","Public Health","2021-05-25",1
"Free State","Private Health","2021-08-18",117
"KwaZulu-Natal","Public Health","2021-08-28",1430
"North West","Private Health","2021-09-23",399
"Northern Cape","Public Health","2021-09-03",1243
"North West","Private Health","2021-11-27",44
"Gauteng","Public Health","2021-03-25",1717
"KwaZulu-Natal","Private Health","2021-11-02",220
"North West","Public Health","2021-07-11",1
"North West","Private Health","2021-10-01",261
"Free State","Private Health","2021-07-12",296
"Eastern Cape","Public Health","2021-04-06",962
"Western Cape","Public Health","2021-08-04",6865
"Free State","Public Health","2021-08-09",431
"Western Cape","Public Health","2021-07-23",4284
"Northern Cape","Private Health","2021-11-09",203
"KwaZulu-Natal","Private Health","2021-10-24",10
"Limpopo","Public Health","2021-03-29",917
"North West","Public Health","2021-08-09",956
"Free State","Public Health","2021-09-28",3963
"North West","Public Health","2021-05-10",269
"Limpopo","Public Health","2021-03-03",691
"Free State","Private Health","2021-11-18",178
"Mpumalanga","Public Health","2021-11-21",109
"Western Cape","Private Health","2021-11-10",464
"Gauteng","Public Health","2021-12-06",4281
"North West","Private Health","2021-10-17",1
"Gauteng","Public Health","2021-09-01",4777
"KwaZulu-Natal","Private Health","2021-09-03",812
"Free State","Public Health","2021-02-22",722
"Mpumalanga","Public Health","2021-09-07",5674
"Limpopo","Private Health","2021-09-13",1630
"Mpumalanga","Public Health","2021-09-15",7978
"North West","Public Health","2021-10-18",5833
"North West","Private Health","2021-10-07",470
"North West","Public Health","2021-03-04",445
"Limpopo","Public Health","2021-11-26",2072
"Western Cape","Public Health","2021-02-23",1237
"KwaZulu-Natal","Private Health","2021-10-27",326
"Western Cape","Public Health","2021-11-03",3503
"Gauteng","Private Health","2021-06-15",8
"Eastern Cape","Public Health","2021-10-21",7479
"Mpumalanga","Private Health","2021-11-29",365
"North West","Private Health","2021-11-16",189
